TIMESTAMP,solar_TIMESTAMP,AUS_BRI_BRI_Ncu_Jt_1,AUS_BRI_BRI_Ncu_Jt_2,AUS_BRI_BRI_Ncu_Jt_3,AUS_BRI_BRI_Ncu_Jt_4,AUS_BRI_BRI_Ncu_Jt_5
2009-09-16T13:30:00Z,2009-09-16T23:20:09Z,,,,,
2009-09-16T14:00:00Z,2009-09-16T23:50:09Z,,,,,
2009-09-16T14:29:59Z,2009-09-17T00:20:30Z,,,,,
2009-09-16T15:00:00Z,2009-09-17T00:50:31Z,,,,,
2009-09-16T15:30:00Z,2009-09-17T01:20:31Z,,,,,
2009-09-16T15:59:59Z,2009-09-17T01:50:30Z,,,,,
2009-09-16T16:30:00Z,2009-09-17T02:20:31Z,,,,,
2009-09-16T17:00:00Z,2009-09-17T02:50:31Z,,,,,
2009-09-16T17:29:59Z,2009-09-17T03:20:30Z,,,,,
2009-09-16T18:00:00Z,2009-09-17T03:50:31Z,,,,,
2009-09-16T18:30:00Z,2009-09-17T04:20:31Z,,,,,
2009-09-16T18:59:59Z,2009-09-17T04:50:30Z,,,,,
2009-09-16T19:30:00Z,2009-09-17T05:20:31Z,,,,,
2009-09-16T20:00:00Z,2009-09-17T05:50:31Z,,,,,
2009-09-16T20:29:59Z,2009-09-17T06:20:30Z,,,,,
